Arena Size: 10x10
Number of Bots: 2
Thread ID           Exec Time (ms)      Wait Time (ms)      Percent Wait        
15152               11637               0                   0.00                
19728               12203               40                  0.33                
Arena Size: 10x10
Number of Bots: 10
Thread ID           Exec Time (ms)      Wait Time (ms)      Percent Wait        
8408                11109               60                  0.54                
13332               1604                48                  2.99                
24380               7183                48                  0.67                
11208               2472                0                   0.00                
21672               2524                88                  3.49                
8760                6372                83                  1.30                
14992               3067                88                  2.87                
4432                5492                217                 3.95                
20056               12687               128                 1.01                
10704               13408               150                 1.12                
Arena Size: 10x10
Number of Bots: 50
Thread ID           Exec Time (ms)      Wait Time (ms)      Percent Wait        
3872                948                 0                   0.00                
11536               1056                194                 18.37               
23968               12562               503                 4.00                
12428               1475                55                  3.73                
23756               1948                107                 5.49                
16520               4433                368                 8.30                
4184                6633                502                 7.57                
3932                2411                218                 9.04                
18244               1987                202                 10.17               
19264               7046                259                 3.68                
5692                2021                257                 12.72               
25032               2588                66                  2.55                
20388               2631                239                 9.08                
1648                2670                174                 6.52                
18160               3808                450                 11.82               
24060               2955                230                 7.78                
2060                3043                293                 9.63                
3248                3645                200                 5.49                
23584               15477               547                 3.53                
11172               3261                333                 10.21               
7992                14055               791                 5.63                
18580               3472                387                 11.15               
14004               3517                252                 7.17                
19240               4023                120                 2.98                
25364               4225                210                 4.97                
20336               8927                506                 5.67                
17204               15118               318                 2.10                
13212               4847                501                 10.34               
9116                4928                551                 11.18               
25500               19407               626                 3.23                
11856               5112                412                 8.06                
1688                11911               540                 4.53                
7996                5511                327                 5.93                
3560                5816                374                 6.43                
11396               6056                557                 9.20                
3512                6294                507                 8.06                
20956               7461                526                 7.05                
23452               6503                426                 6.55                
7892                6673                260                 3.90                
10708               6761                278                 4.11                
16920               8089                440                 5.44                
23200               8809                556                 6.31                
24064               8985                713                 7.94                
20804               9125                548                 6.01                
19076               9599                522                 5.44                
22524               9990                545                 5.46                
3268                10172               288                 2.83                
15312               11875               579                 4.88                
15972               17373               348                 2.00                
7388                19577               503                 2.57                
Arena Size: 20x20
Number of Bots: 2
Thread ID           Exec Time (ms)      Wait Time (ms)      Percent Wait        
6596                8613                241                 2.80                
8964                9001                57                  0.63                
Arena Size: 20x20
Number of Bots: 10
Thread ID           Exec Time (ms)      Wait Time (ms)      Percent Wait        
23184               28325               2678                9.45                
10928               3322                330                 9.93                
21696               18448               2160                11.71               
16492               6427                963                 14.98               
3280                10616               1216                11.45               
2008                12408               1236                9.96                
1616                20408               1558                7.63                
13492               26001               2562                9.85                
13836               61212               2104                3.44                
24012               61364               3400                5.54                
Arena Size: 20x20
Number of Bots: 50
Thread ID           Exec Time (ms)      Wait Time (ms)      Percent Wait        
3892                7935                6677                84.15               
6076                7760                6365                82.02               
17392               34590               20224               58.47               
25496               3768                2969                78.80               
13884               6163                4507                73.13               
9632                8249                5888                71.38               
24844               6421                4668                72.70               
24972               23387               18447               78.88               
18344               7107                4864                68.44               
19356               36345               20264               55.75               
24256               7470                4983                66.71               
23132               16469               12910               78.39               
21536               8371                5372                64.17               
1072                15234               9762                64.08               
7472                8875                6391                72.01               
24112               10966               8711                79.44               
20712               12351               10389               84.11               
18512               23243               17380               74.78               
15844               13572               10225               75.34               
19860               24897               17659               70.93               
1452                30359               17840               58.76               
8496                83656               22988               27.48               
14584               13922               9492                68.18               
17532               25782               18904               73.32               
20880               14611               10098               69.11               
1308                14946               11331               75.81               
448                 26082               14338               54.97               
11936               15837               10055               63.49               
16112               41398               20452               49.40               
15576               16619               12150               73.11               
5136                22225               15343               69.03               
18476               17586               11413               64.90               
20248               18751               13488               71.93               
11876               20439               16920               82.78               
12848               50099               22918               45.75               
1320                20915               15674               74.94               
3328                23529               14276               60.67               
20792               25478               16750               65.74               
20856               44421               21256               47.85               
13080               29486               18201               61.73               
16148               29919               21016               70.24               
6028                46277               24545               53.04               
15184               31379               21007               66.95               
21440               35898               21350               59.47               
7836                37993               20101               52.91               
7320                41936               19949               47.57               
17972               46654               22694               48.64               
24000               51041               24511               48.02               
3028                60993               24865               40.77               
21088               83016               25415               30.61               
Arena Size: 8x8
Number of Bots: 2
Thread ID           Exec Time (ms)      Wait Time (ms)      Percent Wait        
9420                2443                28                  1.15                
11484               2552                36                  1.41                
Arena Size: 8x8
Number of Bots: 10
Thread ID           Exec Time (ms)      Wait Time (ms)      Percent Wait        
21596               3222                249                 7.73                
13332               1294                30                  2.32                
21460               1742                94                  5.40                
3948                2315                183                 7.90                
10844               5483                117                 2.13                
8760                8994                229                 2.55                
24268               6576                258                 3.92                
14992               6546                70                  1.07                
3032                14788               170                 1.15                
15312               15151               32                  0.21                
Arena Size: 8x8
Number of Bots: 50
Thread ID           Exec Time (ms)      Wait Time (ms)      Percent Wait        
23496               1282                77                  6.01                
12036               145                 145                 100.00              
9480                1748                83                  4.75                
2524                520                 199                 38.27               
14732               24459               141                 0.58                
21096               935                 148                 15.83               
20008               1429                4                   0.28                
19020               1367                210                 15.36               
18008               3414                239                 7.00                
22216               10783               303                 2.81                
7760                1100                108                 9.82                
6764                5162                74                  1.43                
20524               2109                137                 6.50                
3176                11502               210                 1.83                
4864                2146                120                 5.59                
13380               2397                218                 9.09                
13820               2457                84                  3.42                
15716               4474                31                  0.69                
7992                2487                256                 10.29               
13132               7894                311                 3.94                
21116               2522                14                  0.56                
20356               2660                225                 8.46                
25568               3650                145                 3.97                
9172                2724                132                 4.85                
25156               3379                113                 3.34                
23244               8765                231                 2.64                
12008               3739                181                 4.84                
22172               4111                274                 6.67                
11560               4486                245                 5.46                
13304               4752                246                 5.18                
18276               6116                278                 4.55                
22700               5055                184                 3.64                
16304               5364                51                  0.95                
12344               5392                76                  1.41                
16572               5572                122                 2.19                
1120                6808                156                 2.29                
4452                5790                175                 3.02                
20672               5866                149                 2.54                
1132                6201                252                 4.06                
18488               11634               272                 2.34                
8156                6174                167                 2.70                
16856               6646                233                 3.51                
24888               13420               363                 2.70                
9752                7402                291                 3.93                
21572               7868                341                 4.33                
10804               8095                423                 5.23                
25484               9189                323                 3.52                
9156                12201               230                 1.89                
17240               17000               236                 1.39                
23248               23984               419                 1.75                
